cell_id	coords
31	[[6170, 181], [6165, 181], [6165, 180], [6167, 179], [6165, 178], [6165, 176], [6163, 172], [6166, 168], [6167, 169], [6165, 171], [6165, 172], [6167, 173], [6167, 178], [6170, 179], [6170, 181]]
32	[[5494, 181], [5493, 180], [5484, 180], [5484, 175], [5484, 174], [5483, 176], [5482, 173], [5484, 173], [5485, 169], [5492, 169], [5494, 171], [5494, 181]]
33	[[5898, 216], [5896, 216], [5895, 217], [5884, 217], [5881, 215], [5879, 215], [5874, 211], [5871, 205], [5871, 198], [5872, 197], [5869, 197], [5870, 190], [5871, 189], [5872, 184], [5876, 176], [5881, 172], [5884, 172], [5885, 173], [5896, 173], [5898, 174], [5900, 177], [5900, 178], [5906, 183], [5907, 185], [5906, 186], [5908, 187], [5907, 191], [5910, 195], [5910, 200], [5909, 201], [5909, 204], [5905, 211], [5903, 213], [5902, 213], [5898, 216]]
34	[[2050, 199], [2049, 200], [2045, 200], [2044, 201], [2043, 200], [2042, 201], [2035, 201], [2034, 202], [2030, 202], [2029, 203], [2020, 203], [2019, 202], [2012, 202], [2008, 200], [2005, 196], [2005, 194], [2007, 191], [2008, 192], [2009, 191], [2013, 191], [2009, 190], [2009, 188], [2007, 185], [2008, 184], [2008, 182], [2010, 180], [2012, 181], [2013, 179], [2014, 180], [2018, 178], [2026, 178], [2027, 177], [2045, 177], [2046, 178], [2048, 178], [2051, 183], [2051, 188], [2050, 189], [2050, 193], [2051, 194], [2051, 196], [2049, 197], [2050, 199]]
35	[[6191, 208], [6189, 208], [6184, 198], [6185, 197], [6184, 195], [6185, 194], [6184, 192], [6181, 191], [6180, 190], [6182, 186], [6182, 182], [6184, 180], [6186, 179], [6189, 179], [6190, 178], [6193, 178], [6194, 183], [6197, 184], [6199, 184], [6200, 186], [6201, 189], [6199, 190], [6201, 191], [6201, 195], [6200, 196], [6200, 198], [6198, 202], [6197, 202], [6196, 204], [6192, 206], [6191, 208]]
36	[[6772, 220], [6771, 219], [6768, 219], [6766, 218], [6760, 214], [6760, 212], [6757, 209], [6756, 207], [6756, 204], [6754, 201], [6754, 197], [6756, 194], [6753, 193], [6754, 192], [6755, 188], [6759, 184], [6761, 184], [6763, 182], [6766, 183], [6766, 181], [6774, 181], [6778, 179], [6781, 179], [6783, 181], [6783, 186], [6785, 188], [6785, 190], [6789, 193], [6789, 195], [6790, 196], [6788, 197], [6790, 199], [6791, 208], [6790, 209], [6790, 212], [6787, 217], [6783, 219], [6772, 220]]
37	[[5492, 206], [5487, 206], [5485, 205], [5484, 202], [5482, 199], [5483, 198], [5482, 197], [5482, 189], [5484, 188], [5485, 180], [5489, 180], [5490, 181], [5491, 180], [5493, 182], [5494, 181], [5494, 182], [5494, 189], [5493, 190], [5494, 191], [5494, 196], [5493, 197], [5493, 205], [5492, 206]]
38	[[1854, 194], [1850, 196], [1850, 200], [1848, 200], [1844, 202], [1839, 202], [1838, 201], [1836, 202], [1833, 202], [1832, 201], [1830, 201], [1826, 199], [1826, 197], [1827, 196], [1827, 183], [1842, 182], [1843, 183], [1851, 183], [1852, 186], [1853, 184], [1854, 186], [1853, 188], [1854, 194]]
39	[[6442, 241], [6430, 241], [6429, 240], [6425, 240], [6421, 238], [6418, 236], [6418, 235], [6415, 232], [6413, 228], [6413, 222], [6412, 220], [6416, 217], [6413, 215], [6413, 212], [6414, 211], [6414, 207], [6415, 206], [6415, 204], [6419, 197], [6424, 192], [6432, 188], [6443, 188], [6444, 189], [6446, 189], [6447, 190], [6449, 190], [6453, 192], [6455, 194], [6456, 194], [6456, 196], [6460, 200], [6461, 204], [6462, 205], [6462, 210], [6463, 211], [6463, 214], [6460, 215], [6462, 216], [6462, 219], [6461, 220], [6460, 225], [6457, 231], [6451, 237], [6445, 240], [6443, 240], [6442, 241]]
40	[[6190, 210], [6188, 210], [6187, 211], [6183, 211], [6182, 210], [6176, 210], [6175, 207], [6175, 206], [6174, 207], [6171, 205], [6170, 207], [6168, 206], [6169, 205], [6169, 201], [6170, 200], [6170, 195], [6175, 193], [6176, 194], [6179, 194], [6180, 195], [6181, 192], [6182, 194], [6184, 199], [6186, 201], [6190, 209], [6190, 210]]
