Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
473	5520.340599765884	1532.0079644276184	[]	[]	['class_28', 'class_113', 'Zero']	[0.012895715710916883, 0.01883448948655591, 0.9672365037924211]
474	6279.960323756636	1548.9945392964657	['Arc', 'Cck', 'Chodl', 'Cox6a2', 'Cpne2', 'Cpne7', 'Cryab', 'Cxcl14', 'Enpp2', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Prkca', 'Reln', 'Rgs4', 'Sema5a', 'Serpine2', 'Serpini1', 'Tnfaip6']	[1.9994797034090424, 1.5002651327863847, 0.9993587943547751, 3.1312755904954233, 0.9981088932096259, 0.817853386620366, 11.557669054822961, 0.9995892024171869, 13.643041287114409, 0.9358558688059784, 1.246888095820347, 3.1735265509213817, 14.912522372199494, 0.33093519978439534, 0.10201807507413346, 1.0003333063287816, 0.7039235846427896, 0.013624777651877295, 0.8031996011676449, 0.8403251380795926]	['class_71']	[0.9999983768094978]
475	5479.405199323334	1539.998002956927	[]	[]	['class_28', 'class_113', 'Zero']	[0.013763410765422465, 0.0196199365407167, 0.9654389563649906]
476	852.7738161773259	1563.110698483918	['Arc', 'Chrna6', 'Cort', 'Cryab', 'Enpp2', 'Gad1', 'Hsd11b1', 'Kit', 'Nek7', 'Parm1', 'Pcp4', 'Penk', 'Plp1', 'Pthlh', 'Reln', 'Rgs4', 'Serpini1', 'Slc6a1', 'Sst', 'Thsd7a', 'Tnfaip6', 'Yjefn3', 'Zbtb20']	[0.9999264126131482, 0.9971135259669631, 2.9732064470618256, 11.233837664907863, 8.959223718105171, 1.9988439835802616, 0.9998259405799375, 3.7043599321524314, 0.9978192741496431, 0.9999535424026104, 0.9974354424253242, 0.9103004605774605, 19.122515191927643, 0.0015657905858110703, 1.9097905420859784, 0.9999682414520923, 2.8889859109742053, 1.7710696757397222, 0.11976517147471814, 0.4728552099358964, 1.9999071519360956, 0.9958754992758764, 0.9747150230152767]	['class_80']	[0.999999999999954]
477	5479.37063903192	1540.0043011328464	[]	[]	['class_28', 'class_113', 'Zero']	[0.019476352936052876, 0.02426465266897236, 0.9538931574547553]
478	5482.841311349699	1542.0083705260708	['Pthlh', 'Rab3c']	[0.99987694523444, 0.9994709761228583]	['class_9', 'class_28', 'class_80', 'class_85', 'class_103', 'class_113', 'Zero']	[0.002375547202777643, 0.059003807907619624, 0.0011989052623875738, 0.013299770626976987, 0.00427218318624715, 0.8380546191318254, 0.08094237957947867]
479	5486.3826771489385	1544.0092019820572	[]	[]	['class_28', 'class_113', 'Zero']	[0.008721724731899222, 0.01465592605531688, 0.9761524162857328]
480	471.8842908012496	1575.7070092539022	['Aldoc', 'Cox6a2', 'Cpne2', 'Cryab', 'Cxcl14', 'Ddit4l', 'Gabrg1', 'Grik1', 'Hsd11b1', 'Id2', 'Mia', 'Nek7', 'Pcp4', 'Plp1', 'Rab3c', 'Rgs4', 'Slc6a1', 'Sst', 'Zbtb20']	[0.338933285786213, 0.9999322711709515, 1.7312508101757533, 3.4305705837803036, 3.8969361477148277, 0.9549864673550609, 0.028195315685447832, 0.7879697918448357, 0.7741517952650488, 8.02785303021797, 0.053857682464465366, 0.3075331668592161, 0.9870350365506678, 0.9999483245792011, 1.0059453624040542, 0.9998931130626564, 10.870480980505747, 0.9975387222621588, 1.0796328710396295]	['class_103']	[0.9999971892788306]
481	5471.420131719777	1554.949447562786	['Rgs4']	[0.002105457676673966]	['class_28', 'class_113', 'Zero']	[0.008469060044491076, 0.014355374828451607, 0.9767300434847002]
482	5471.339855716077	1555.0080264417027	['Rgs4']	[0.0034523632671543073]	['class_28', 'class_113', 'Zero']	[0.008007612767274401, 0.013823066754501314, 0.9777699912748842]
